sub_score,neg_pct
0,0.7777777777777778
59,1.0
154,0.0
157,1.0
220,1.0
254,1.0
271,1.0
277,0.0
288,1.0
294,1.0
347,1.0
368,1.0
451,1.0
456,1.0
460,1.0
474,1.0
508,0.0
580,1.0
588,1.0
619,1.0
634,0.0
643,1.0
663,1.0
668,1.0
675,0.0
696,1.0
707,1.0
859,1.0
901,1.0
932,1.0
939,1.0
940,1.0
963,1.0
968,1.0
983,1.0
988,1.0
994,1.0
997,1.0
1010,1.0
1014,1.0
1017,1.0
1042,1.0
1043,1.0
1049,0.0
1059,1.0
1075,1.0
1076,1.0
1092,1.0
1096,0.0
1148,1.0
1172,1.0
1195,1.0
1222,1.0
1251,0.0
1255,1.0
1278,0.0
1379,1.0
1380,1.0
1425,1.0
1462,0.0
1495,0.0
1505,1.0
1570,0.0
1577,1.0
1593,0.0
1621,1.0
1647,1.0
1650,1.0
1672,1.0
1690,0.0
1731,1.0
1745,1.0
1746,0.0
1759,1.0
1776,1.0
1799,1.0
1802,1.0
1816,0.0
1911,1.0
1914,1.0
1953,1.0
1960,1.0
1961,1.0
1986,1.0
2021,1.0
2025,1.0
2101,1.0
2106,1.0
2139,1.0
2146,1.0
2149,1.0
2152,1.0
2174,1.0
2221,1.0
2247,1.0
2259,1.0
2269,0.0
2292,1.0
2319,0.5
2335,1.0
2338,1.0
2339,1.0
2389,1.0
2427,0.0
2482,1.0
2500,1.0
2502,1.0
2530,0.0
2535,1.0
2588,1.0
2601,1.0
2683,0.0
2699,1.0
2711,1.0
2746,1.0
2748,1.0
2764,1.0
2820,1.0
2852,1.0
2865,1.0
2923,1.0
2949,1.0
2950,1.0
2957,1.0
2991,1.0
3001,1.0
3022,0.5
3029,1.0
3040,1.0
3048,1.0
3072,0.5
3115,1.0
3151,1.0
3183,0.0
3192,1.0
3201,1.0
3207,1.0
3211,1.0
3261,1.0
3284,1.0
3297,0.0
3299,1.0
3310,1.0
3320,1.0
3330,0.5
3334,1.0
3391,1.0
3434,1.0
3451,1.0
3464,1.0
3521,1.0
3530,1.0
3531,1.0
3552,1.0
3572,1.0
3640,1.0
3666,1.0
3675,1.0
3749,1.0
3771,1.0
3777,1.0
3808,0.0
3817,1.0
3821,1.0
3839,1.0
3863,1.0
3935,1.0
3944,0.0
3962,1.0
3974,1.0
3983,1.0
3986,1.0
3989,1.0
3990,1.0
4034,1.0
4049,1.0
4051,1.0
4082,1.0
