sub_score,neg_pct
35988,1.0
36022,1.0
36090,1.0
36156,1.0
36231,1.0
36266,0.0
36476,0.5
36582,1.0
36648,0.5
36651,1.0
36875,1.0
36955,1.0
37190,1.0
37226,1.0
37252,1.0
37271,1.0
37284,0.0
37390,0.0
37391,1.0
37550,1.0
37695,1.0
37766,1.0
37844,1.0
37905,1.0
37996,1.0
38062,1.0
38233,1.0
38270,1.0
38318,1.0
38498,1.0
38521,1.0
38606,1.0
38644,1.0
38665,1.0
38765,1.0
39184,1.0
39197,1.0
39327,1.0
39462,1.0
39500,1.0
39537,1.0
39570,1.0
39620,1.0
39697,1.0
39745,1.0
39823,1.0
39928,1.0
40099,0.0
40151,1.0
40261,1.0
40345,1.0
40360,1.0
40419,1.0
40984,0.0
41007,1.0
41036,1.0
41079,1.0
41235,1.0
41275,1.0
41339,1.0
41362,1.0
41497,1.0
41634,0.8333333333333334
41834,0.0
41917,1.0
42187,1.0
42540,1.0
42588,1.0
42629,1.0
42715,1.0
42720,1.0
42765,1.0
43236,1.0
43487,1.0
43644,1.0
43664,0.0
43713,1.0
43954,1.0
44146,1.0
44620,1.0
44689,1.0
44811,1.0
44841,1.0
44891,1.0
45025,1.0
45268,1.0
45397,0.0
45423,1.0
45764,1.0
46130,1.0
46147,1.0
46235,1.0
46327,1.0
46396,1.0
46596,1.0
47030,1.0
47044,0.6666666666666666
47215,1.0
47395,1.0
47507,1.0
48023,1.0
48106,1.0
48260,1.0
49368,1.0
49534,1.0
49733,0.0
50065,1.0
50364,1.0
50494,1.0
50772,1.0
50997,1.0
51377,0.5
52430,1.0
52655,1.0
52811,1.0
53386,1.0
53520,1.0
53550,1.0
53758,0.0
53814,1.0
54071,1.0
54482,1.0
54754,1.0
54900,0.8333333333333334
55924,0.8888888888888888
56542,1.0
56804,0.0
57058,0.0
57235,1.0
57392,1.0
59818,1.0
61257,1.0
63170,1.0
67995,0.8333333333333334
68640,1.0
68713,1.0
70606,1.0
72788,1.0
81599,1.0
94398,1.0
