sub_score,pos_pct
0,0.4444444444444444
59,0.0
154,0.0
157,0.0
220,1.0
254,1.0
271,0.0
277,0.0
288,0.0
294,0.0
347,1.0
368,0.0
451,1.0
456,1.0
460,0.0
474,1.0
508,1.0
580,0.0
588,0.0
619,0.0
634,0.0
643,0.0
663,1.0
668,1.0
675,1.0
696,0.0
707,1.0
859,1.0
901,0.0
932,0.0
939,0.0
940,1.0
963,1.0
968,0.0
983,1.0
988,0.0
994,0.0
997,1.0
1010,0.0
1014,1.0
1017,1.0
1042,0.0
1043,0.0
1049,1.0
1059,0.0
1075,0.0
1076,0.0
1092,0.0
1096,1.0
1148,0.0
1172,0.0
1195,1.0
1222,1.0
1251,0.0
1255,0.0
1278,1.0
1379,0.0
1380,0.0
1425,1.0
1462,1.0
1495,0.0
1505,0.5
1570,1.0
1577,0.5
1593,0.0
1621,1.0
1647,1.0
1650,0.0
1672,0.0
1690,0.0
1731,0.0
1745,1.0
1746,1.0
1759,1.0
1776,0.0
1799,0.0
1802,1.0
1816,1.0
1911,0.0
1914,1.0
1953,1.0
1960,0.0
1961,0.0
1986,0.0
2021,1.0
2025,0.0
2101,1.0
2106,1.0
2139,0.5
2146,1.0
2149,0.0
2152,1.0
2174,0.0
2221,0.0
2247,0.0
2259,0.0
2269,1.0
2292,1.0
2319,0.5
2335,1.0
2338,0.0
2339,1.0
2389,0.0
2427,0.0
2482,0.0
2500,1.0
2502,1.0
2530,0.0
2535,0.0
2588,0.0
2601,0.0
2683,0.0
2699,0.0
2711,0.5
2746,0.0
2748,0.0
2764,0.0
2820,1.0
2852,1.0
2865,0.0
2923,0.0
2949,1.0
2950,1.0
2957,1.0
2991,1.0
3001,1.0
3022,1.0
3029,0.0
3040,1.0
3048,0.0
3072,0.5
3115,0.0
3151,1.0
3183,0.0
3192,0.5
3201,1.0
3207,1.0
3211,1.0
3261,1.0
3284,0.0
3297,0.0
3299,0.0
3310,0.0
3320,0.0
3330,0.5
3334,0.0
3391,0.0
3434,1.0
3451,0.0
3464,0.5
3521,1.0
3530,1.0
3531,1.0
3552,0.0
3572,0.0
3640,0.0
3666,0.0
3675,0.0
3749,0.0
3771,0.0
3777,1.0
3808,1.0
3817,0.0
3821,0.3333333333333333
3839,1.0
3863,0.0
3935,0.0
3944,0.0
3962,1.0
3974,1.0
3983,1.0
3986,0.0
3989,0.0
3990,0.0
4034,0.0
4049,0.0
4051,0.0
4082,0.0
4149,0.0
4251,1.0
4253,1.0
4280,1.0
4363,0.0
4368,0.0
4380,0.0
4409,0.0
4426,0.0
4437,0.0
4458,0.0
4488,0.0
4527,1.0
4531,0.0
4646,0.0
4686,1.0
4725,0.0
4726,0.0
4782,0.5
4844,1.0
4853,1.0
4863,1.0
4936,1.0
4957,0.0
5053,0.0
5148,0.0
5161,1.0
5229,0.0
5279,0.0
5318,1.0
5321,1.0
5347,0.0
5367,0.0
5459,1.0
5484,1.0
5637,1.0
5640,1.0
5651,0.0
5702,1.0
5752,0.0
5760,1.0
5764,0.0
5776,0.0
5781,0.0
5858,0.0
5877,0.0
5904,1.0
5978,1.0
6066,0.0
6114,1.0
6164,0.0
